"","dateRep","day","month","year","cases","deaths","geoId","continentExp","countryterritoryCode","popData2018","countriesAndTerritories"
"1","13/06/2020",13,6,2020,656,20,"AF","Asia","AFG",37172386,"Afghanistan"
"2","12/06/2020",12,6,2020,747,21,"AF","Asia","AFG",37172386,"Afghanistan"
"3","11/06/2020",11,6,2020,684,21,"AF","Asia","AFG",37172386,"Afghanistan"
"4","10/06/2020",10,6,2020,542,15,"AF","Asia","AFG",37172386,"Afghanistan"
"5","09/06/2020",9,6,2020,575,12,"AF","Asia","AFG",37172386,"Afghanistan"
"6","08/06/2020",8,6,2020,791,30,"AF","Asia","AFG",37172386,"Afghanistan"
"7","07/06/2020",7,6,2020,582,18,"AF","Asia","AFG",37172386,"Afghanistan"
"8","06/06/2020",6,6,2020,915,9,"AF","Asia","AFG",37172386,"Afghanistan"
"9","05/06/2020",5,6,2020,787,6,"AF","Asia","AFG",37172386,"Afghanistan"
"10","04/06/2020",4,6,2020,758,24,"AF","Asia","AFG",37172386,"Afghanistan"
"11","03/06/2020",3,6,2020,759,5,"AF","Asia","AFG",37172386,"Afghanistan"
"12","02/06/2020",2,6,2020,545,8,"AF","Asia","AFG",37172386,"Afghanistan"
"13","01/06/2020",1,6,2020,680,8,"AF","Asia","AFG",37172386,"Afghanistan"
"14","31/05/2020",31,5,2020,866,3,"AF","Asia","AFG",37172386,"Afghanistan"
"15","30/05/2020",30,5,2020,623,11,"AF","Asia","AFG",37172386,"Afghanistan"
"16","29/05/2020",29,5,2020,580,8,"AF","Asia","AFG",37172386,"Afghanistan"
"17","28/05/2020",28,5,2020,625,7,"AF","Asia","AFG",37172386,"Afghanistan"
"18","27/05/2020",27,5,2020,658,1,"AF","Asia","AFG",37172386,"Afghanistan"
"19","26/05/2020",26,5,2020,591,1,"AF","Asia","AFG",37172386,"Afghanistan"
"20","25/05/2020",25,5,2020,584,2,"AF","Asia","AFG",37172386,"Afghanistan"
"21","24/05/2020",24,5,2020,782,11,"AF","Asia","AFG",37172386,"Afghanistan"
"22","23/05/2020",23,5,2020,540,12,"AF","Asia","AFG",37172386,"Afghanistan"
"23","22/05/2020",22,5,2020,531,6,"AF","Asia","AFG",37172386,"Afghanistan"
"24","21/05/2020",21,5,2020,492,9,"AF","Asia","AFG",37172386,"Afghanistan"
"25","20/05/2020",20,5,2020,581,5,"AF","Asia","AFG",37172386,"Afghanistan"
"26","19/05/2020",19,5,2020,408,4,"AF","Asia","AFG",37172386,"Afghanistan"
"27","18/05/2020",18,5,2020,262,1,"AF","Asia","AFG",37172386,"Afghanistan"
"28","17/05/2020",17,5,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"29","16/05/2020",16,5,2020,1063,32,"AF","Asia","AFG",37172386,"Afghanistan"
"30","15/05/2020",15,5,2020,113,6,"AF","Asia","AFG",37172386,"Afghanistan"
"31","14/05/2020",14,5,2020,259,3,"AF","Asia","AFG",37172386,"Afghanistan"
"32","13/05/2020",13,5,2020,280,5,"AF","Asia","AFG",37172386,"Afghanistan"
"33","12/05/2020",12,5,2020,285,2,"AF","Asia","AFG",37172386,"Afghanistan"
"34","11/05/2020",11,5,2020,369,5,"AF","Asia","AFG",37172386,"Afghanistan"
"35","10/05/2020",10,5,2020,255,6,"AF","Asia","AFG",37172386,"Afghanistan"
"36","09/05/2020",9,5,2020,215,3,"AF","Asia","AFG",37172386,"Afghanistan"
"37","08/05/2020",8,5,2020,171,2,"AF","Asia","AFG",37172386,"Afghanistan"
"38","07/05/2020",7,5,2020,168,9,"AF","Asia","AFG",37172386,"Afghanistan"
"39","06/05/2020",6,5,2020,330,5,"AF","Asia","AFG",37172386,"Afghanistan"
"40","05/05/2020",5,5,2020,190,5,"AF","Asia","AFG",37172386,"Afghanistan"
"41","04/05/2020",4,5,2020,235,13,"AF","Asia","AFG",37172386,"Afghanistan"
"42","03/05/2020",3,5,2020,134,4,"AF","Asia","AFG",37172386,"Afghanistan"
"43","02/05/2020",2,5,2020,164,4,"AF","Asia","AFG",37172386,"Afghanistan"
"44","01/05/2020",1,5,2020,222,4,"AF","Asia","AFG",37172386,"Afghanistan"
"45","30/04/2020",30,4,2020,122,0,"AF","Asia","AFG",37172386,"Afghanistan"
"46","29/04/2020",29,4,2020,124,3,"AF","Asia","AFG",37172386,"Afghanistan"
"47","28/04/2020",28,4,2020,172,0,"AF","Asia","AFG",37172386,"Afghanistan"
"48","27/04/2020",27,4,2020,68,10,"AF","Asia","AFG",37172386,"Afghanistan"
"49","26/04/2020",26,4,2020,112,4,"AF","Asia","AFG",37172386,"Afghanistan"
"50","25/04/2020",25,4,2020,70,1,"AF","Asia","AFG",37172386,"Afghanistan"
"51","24/04/2020",24,4,2020,105,2,"AF","Asia","AFG",37172386,"Afghanistan"
"52","23/04/2020",23,4,2020,84,4,"AF","Asia","AFG",37172386,"Afghanistan"
"53","22/04/2020",22,4,2020,61,1,"AF","Asia","AFG",37172386,"Afghanistan"
"54","21/04/2020",21,4,2020,35,2,"AF","Asia","AFG",37172386,"Afghanistan"
"55","20/04/2020",20,4,2020,88,3,"AF","Asia","AFG",37172386,"Afghanistan"
"56","19/04/2020",19,4,2020,63,0,"AF","Asia","AFG",37172386,"Afghanistan"
"57","18/04/2020",18,4,2020,51,1,"AF","Asia","AFG",37172386,"Afghanistan"
"58","17/04/2020",17,4,2020,10,4,"AF","Asia","AFG",37172386,"Afghanistan"
"59","16/04/2020",16,4,2020,70,2,"AF","Asia","AFG",37172386,"Afghanistan"
"60","15/04/2020",15,4,2020,49,2,"AF","Asia","AFG",37172386,"Afghanistan"
"61","14/04/2020",14,4,2020,58,3,"AF","Asia","AFG",37172386,"Afghanistan"
"62","13/04/2020",13,4,2020,52,0,"AF","Asia","AFG",37172386,"Afghanistan"
"63","12/04/2020",12,4,2020,34,3,"AF","Asia","AFG",37172386,"Afghanistan"
"64","11/04/2020",11,4,2020,37,0,"AF","Asia","AFG",37172386,"Afghanistan"
"65","10/04/2020",10,4,2020,61,1,"AF","Asia","AFG",37172386,"Afghanistan"
"66","09/04/2020",9,4,2020,56,3,"AF","Asia","AFG",37172386,"Afghanistan"
"67","08/04/2020",8,4,2020,30,4,"AF","Asia","AFG",37172386,"Afghanistan"
"68","07/04/2020",7,4,2020,38,0,"AF","Asia","AFG",37172386,"Afghanistan"
"69","06/04/2020",6,4,2020,29,2,"AF","Asia","AFG",37172386,"Afghanistan"
"70","05/04/2020",5,4,2020,35,1,"AF","Asia","AFG",37172386,"Afghanistan"
"71","04/04/2020",4,4,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"72","03/04/2020",3,4,2020,43,0,"AF","Asia","AFG",37172386,"Afghanistan"
"73","02/04/2020",2,4,2020,26,0,"AF","Asia","AFG",37172386,"Afghanistan"
"74","01/04/2020",1,4,2020,25,0,"AF","Asia","AFG",37172386,"Afghanistan"
"75","31/03/2020",31,3,2020,27,0,"AF","Asia","AFG",37172386,"Afghanistan"
"76","30/03/2020",30,3,2020,8,1,"AF","Asia","AFG",37172386,"Afghanistan"
"77","29/03/2020",29,3,2020,15,1,"AF","Asia","AFG",37172386,"Afghanistan"
"78","28/03/2020",28,3,2020,16,1,"AF","Asia","AFG",37172386,"Afghanistan"
"79","27/03/2020",27,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"80","26/03/2020",26,3,2020,33,0,"AF","Asia","AFG",37172386,"Afghanistan"
"81","25/03/2020",25,3,2020,2,0,"AF","Asia","AFG",37172386,"Afghanistan"
"82","24/03/2020",24,3,2020,6,1,"AF","Asia","AFG",37172386,"Afghanistan"
"83","23/03/2020",23,3,2020,10,0,"AF","Asia","AFG",37172386,"Afghanistan"
"84","22/03/2020",22,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"85","21/03/2020",21,3,2020,2,0,"AF","Asia","AFG",37172386,"Afghanistan"
"86","20/03/2020",20,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"87","19/03/2020",19,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"88","18/03/2020",18,3,2020,1,0,"AF","Asia","AFG",37172386,"Afghanistan"
"89","17/03/2020",17,3,2020,5,0,"AF","Asia","AFG",37172386,"Afghanistan"
"90","16/03/2020",16,3,2020,6,0,"AF","Asia","AFG",37172386,"Afghanistan"
"91","15/03/2020",15,3,2020,3,0,"AF","Asia","AFG",37172386,"Afghanistan"
"92","11/03/2020",11,3,2020,3,0,"AF","Asia","AFG",37172386,"Afghanistan"
"93","08/03/2020",8,3,2020,3,0,"AF","Asia","AFG",37172386,"Afghanistan"
"94","02/03/2020",2,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"95","01/03/2020",1,3,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"96","29/02/2020",29,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"97","28/02/2020",28,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"98","27/02/2020",27,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"99","26/02/2020",26,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"100","25/02/2020",25,2,2020,1,0,"AF","Asia","AFG",37172386,"Afghanistan"
"101","24/02/2020",24,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"102","23/02/2020",23,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"103","22/02/2020",22,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"104","21/02/2020",21,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"105","20/02/2020",20,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"106","19/02/2020",19,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"107","18/02/2020",18,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"108","17/02/2020",17,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"109","16/02/2020",16,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
"110","15/02/2020",15,2,2020,0,0,"AF","Asia","AFG",37172386,"Afghanistan"
